trace_id,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
0da1537a6882f50c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.5531235638708811,0.025974025974025976,0.95,0.09703232940415156,0.8333333333333334,0.9
11995e46b1c52808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.5147584871408041,0.11439114391143912,1.0,0.2726520352487935,1.0,1.0
29ec4816e875f688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5507818514960674,0.5755693581780539,0.0,0.21158368871800995,1.0,1.0
6d71539ea4f1aa87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.44471862854885835,0.2727272727272727,0.98,0.1227845725036014,1.0,1.0
a08b4e4e1d82dce3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.8132543629330917,0.6470588235294118,0.75,0.2588470079936337,1.0,1.0
a1b618dbff8b4c7c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8656979196321412,0.659217877094972,0.98,0.4066978730630214,1.0,0.95
a37eda42c4ce19e0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.6543601569906846,0.1825813221406086,1.0,0.3218070332027171,0.7,0.3
aafe2a5662746683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3,0.5525600001184605,0.10580204778156997,1.0,0.22729286981273644,1.0,1.0
bc19a000c4683085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6639152484189762,0.7601918465227818,0.75,0.3746836372979846,0.8333333333333334,0.9
cc772a1590ececd8,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.05,0.8361582866746282,0.3670886075949367,0.6666666666666666,0.4222816645558003,1.0,1.0
e012bd11684c79e9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.8512597234616254,0.9664179104477612,1.0000000000000002e-06,0.2891833793322817,1.0,0.7
ec0b9ac77f760564,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4,0.14285714285714285,0.15,0.7520208334963681,0.18091451292246521,100.0,0.2912768631372473,1.0,0.9
f4eb1f4a6925d23b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.7120754598081922,0.8672985781990521,0.0,0.41932696297239686,1.0,1.0
